# Dissociation-energy corrections to the Barklem & Collet 2016 diatomic equilibrium constants.
#
# BC16 tabulate log10(pK) for the dissociation reaction, which carries a -D0/(kT ln10) term.  Where a
# better D0 is available than the one BC16 adopted, the tabulated logK can be shifted onto it
# analytically (see `read_Barklem_Collet_logKs`), with no need to regenerate the table:
#
#     logK_corrected(T) = logK_BC16(T) - (D0_adopted - D0_BC16) / (kboltz_eV * T * ln10)
#
# D0_BC16 must match the value BC16 actually used, since it is what the shift is measured from; it is
# not merely documentation.  These are the same 18 species, values and sources adopted by the
# ATLAS-12/SYNTHE port (`tools/fit_molecule_keq.py`, D0_OVERRIDES), so that the two codes share a
# dissociation-energy scale.  Energies in eV.
#
# CaH is the one that matters most for cool dwarfs: BC16 Table 1 took Luo07's uncertainty-free 2.281
# over HH's 1.700, which is a ~0.58 eV outlier against ExoMol, older experiment and theory alike, and
# yields ~7x too much CaH at M-dwarf temperatures.
#
# AlN is flagged low-confidence by the source audit (JANAF; theory suggests ~2.3).  It is included
# for consistency with ATLAS-12, but it is trace at all temperatures Korg targets.
spec,D0_adopted,D0_BC16,reference
CaH,1.699,2.281,"ExoMol XAB X2S+ D0=13700 cm-1 (Owens+ 2022, MNRAS 511, 5448, s3.1.3); HH 1.700; expt 1.679(15)"
FeH,1.598,1.497,Schultz & Armentrout 1991 / Dulick+ 2003
CrH,2.114,1.930,Cheng+ 2017 revision of Chen+ 1993
CuH,2.686,2.602,Mohammadian & Shayesteh 2023
BeH,2.063,1.973,Dattani 2015
MgH,1.285,1.270,Shayesteh+ 2007 10365.6 cm-1
C2,6.248,6.371,Borsovszky+ 2021 PNAS 50390.5 cm-1
TiS,4.690,4.294,Sorensen+ 2020 predissociation
VO,6.545,6.566,Merriles+ 2020 R2PI
CaO,4.110,3.986,Irvin & Dagdigian 1980 + Vasiliu+ 2010
BN,4.491,3.877,Karton & Martin 2006 W4
BF,7.840,7.550,Hildenbrand 1965 / JANAF
NS,4.850,4.801,Peebles & Marshall 2002
SiN,4.700,4.493,Xing+ 2018 MRCI
SiF,5.700,5.937,Farber 1978 / JANAF
PS,4.540,4.289,Drowart 1973 / HH
BS,6.010,5.711,Uy & Drowart 1970 / HH
AlN,2.860,3.778,"JANAF; low confidence, theory ~2.3"
